NATIONAL DATA BANK VERSION 8.2,,,,,,,,08/05/2020,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jan 2020,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0802301 CO EBT COSTILLA CO DSS,190,,952,,1142,,117,,533,,650,,128462
0802501 CO EBT CROWLEY CO DSS,127,,726,,853,,66,,393,,459,,92587
0802701 CO EBT CUSTER CO DSS,42,,344,,386,,22,,206,,228,,41747
0802901 CO EBT DELTA CO DSS,263,,3688,,3951,,184,,1849,,2033,,422257
0803102 CO EBT DENVER,9951,,63529,,73480,,6281,,33607,,39888,,9463933
0803301 CO EBT DOLORES CO DSS,16,,190,,206,,10,,85,,95,,20193
0803501 CO EBT DOUGLAS,328,,4669,,4997,,215,,2244,,2459,,578760
0803701 CO EBT EAGLE CO DSS,96,,880,,976,,51,,447,,498,,115079
0803901 CO EBT ELBERT CO DSS,62,,816,,878,,31,,369,,400,,100440
0804101 CO EBT EL PASO CO DSS,6385,,57438,,63823,,3136,,28290,,31426,,7701622
0804301 CO EBT FREMONT CO DSS,631,,6136,,6767,,382,,3244,,3626,,759488
0804501 CO EBT GARFIELD CO DSS,305,,3148,,3453,,194,,1541,,1735,,390627
0804701 CO EBT GILPIN,24,,418,,442,,15,,218,,233,,48810
0804901 CO EBT GRAND,14,,400,,414,,10,,217,,227,,42636
0805101 CO EBT GUNN HINSDALE CO DSS,98,,777,,875,,51,,450,,501,,108097
0805301 CO EBT HINSDALE,0,,9,,9,,0,,5,,5,,1177
0805501 CO EBT HUERFANO CO DSS,191,,1503,,1694,,114,,869,,983,,201196
0805701 CO EBT JACKSON,12,,96,,108,,6,,45,,51,,10243
0805901 CO EBT JEFFERSON CO DSS,2414,,23300,,25714,,1520,,11950,,13470,,3191781
0806101 CO EBT KIOWA CO DSS,22,,155,,177,,13,,68,,81,,17353
0806301 CO EBT KIT CARSON CO DSS,62,,678,,740,,29,,302,,331,,74211
0806501 CO EBT LAKE CO DSS,39,,441,,480,,17,,218,,235,,428042
0806701 CO EBT LA PLATA CO DSS,417,,2842,,3259,,219,,1523,,1742,,53218
0806901 CO EBT LARIMER CO DSS,2236,,19441,,21677,,1198,,10222,,11420,,2634434
0807101 CO EBT LAS ANIMAS CO DSS,371,,2752,,3123,,233,,1556,,1789,,370234
0807301 CO EBT LINCOLN CO DSS,33,,481,,514,,17,,229,,246,,55383
0807501 CO EBT LOGAN CO DSS,155,,2117,,2272,,102,,1124,,1226,,246005
0807701 CO EBT MESA CO DSS,1587,,15085,,16672,,867,,7824,,8691,,1932842
0807901 CO EBT MINERAL,2,,27,,29,,2,,21,,23,,4158
